away_team,away_score,home_team,home_score
Philadelphia Phillies,1,Houston Astros,2
Chicago Cubs,3,St. Louis Cardinals,0
Los Angeles Dodgers,3,Colorado Rockies,1
Miami Marlins,12,San Francisco Giants,5
Atlanta Braves,0,New York Mets,4
New York Mets,NA,Pittsburgh Pirates,NA
Tampa Bay Rays,NA,Baltimore Orioles,NA
Athletics,NA,New York Yankees,NA
San Diego Padres,NA,Cincinnati Reds,NA
St. Louis Cardinals,NA,Cleveland Guardians,NA
Toronto Blue Jays,NA,Boston Red Sox,NA
Minnesota Twins,NA,Detroit Tigers,NA
Philadelphia Phillies,NA,Atlanta Braves,NA
San Francisco Giants,NA,Chicago White Sox,NA
Seattle Mariners,NA,Texas Rangers,NA
Chicago Cubs,NA,Houston Astros,NA
Los Angeles Dodgers,NA,Kansas City Royals,NA
Colorado Rockies,NA,Milwaukee Brewers,NA
Washington Nationals,NA,Los Angeles Angels,NA
Miami Marlins,NA,Arizona Diamondbacks,NA
Athletics,NA,New York Yankees,NA
Minnesota Twins,NA,Detroit Tigers,NA
New York Mets,NA,Pittsburgh Pirates,NA
Tampa Bay Rays,NA,Baltimore Orioles,NA
Seattle Mariners,NA,Texas Rangers,NA
Los Angeles Dodgers,NA,Kansas City Royals,NA
San Diego Padres,NA,Cincinnati Reds,NA
St. Louis Cardinals,NA,Cleveland Guardians,NA
Toronto Blue Jays,NA,Boston Red Sox,NA
San Francisco Giants,NA,Chicago White Sox,NA
Miami Marlins,NA,Arizona Diamondbacks,NA
Colorado Rockies,NA,Milwaukee Brewers,NA
Chicago Cubs,NA,Houston Astros,NA
Philadelphia Phillies,NA,Atlanta Braves,NA
Washington Nationals,NA,Los Angeles Angels,NA
St. Louis Cardinals,NA,Cleveland Guardians,NA
New York Mets,NA,Pittsburgh Pirates,NA
Tampa Bay Rays,NA,Baltimore Orioles,NA
Toronto Blue Jays,NA,Boston Red Sox,NA
Philadelphia Phillies,NA,Atlanta Braves,NA
Athletics,NA,New York Yankees,NA
San Diego Padres,NA,Cincinnati Reds,NA
Chicago Cubs,NA,Houston Astros,NA
Los Angeles Dodgers,NA,Kansas City Royals,NA
San Francisco Giants,NA,Chicago White Sox,NA
Colorado Rockies,NA,Milwaukee Brewers,NA
Seattle Mariners,NA,Texas Rangers,NA
Washington Nationals,NA,Los Angeles Angels,NA
Miami Marlins,NA,Arizona Diamondbacks,NA
Minnesota Twins,NA,Detroit Tigers,NA
San Diego Padres,NA,Philadelphia Phillies,NA
St. Louis Cardinals,NA,Pittsburgh Pirates,NA
New York Yankees,NA,Toronto Blue Jays,NA
Cincinnati Reds,NA,Boston Red Sox,NA
Athletics,NA,Tampa Bay Rays,NA
Baltimore Orioles,NA,Texas Rangers,NA
Kansas City Royals,NA,Seattle Mariners,NA
San Francisco Giants,NA,Arizona Diamondbacks,NA
New York Yankees,NA,Toronto Blue Jays,NA
San Diego Padres,NA,Philadelphia Phillies,NA
St. Louis Cardinals,NA,Pittsburgh Pirates,NA
Minnesota Twins,NA,Miami Marlins,NA
Detroit Tigers,NA,Washington Nationals,NA
Athletics,NA,Tampa Bay Rays,NA
Cincinnati Reds,NA,Boston Red Sox,NA
Milwaukee Brewers,NA,New York Mets,NA
Los Angeles Angels,NA,Atlanta Braves,NA
Cleveland Guardians,NA,Chicago Cubs,NA
Baltimore Orioles,NA,Texas Rangers,NA
Houston Astros,NA,Colorado Rockies,NA
Kansas City Royals,NA,Seattle Mariners,NA
San Francisco Giants,NA,Arizona Diamondbacks,NA
Chicago White Sox,NA,Los Angeles Dodgers,NA
Athletics,NA,Tampa Bay Rays,NA
St. Louis Cardinals,NA,Pittsburgh Pirates,NA
San Diego Padres,NA,Philadelphia Phillies,NA
Minnesota Twins,NA,Miami Marlins,NA
Detroit Tigers,NA,Washington Nationals,NA
New York Yankees,NA,Toronto Blue Jays,NA
Cincinnati Reds,NA,Boston Red Sox,NA
Milwaukee Brewers,NA,New York Mets,NA
Los Angeles Angels,NA,Atlanta Braves,NA
Cleveland Guardians,NA,Chicago Cubs,NA
Baltimore Orioles,NA,Texas Rangers,NA
Houston Astros,NA,Colorado Rockies,NA
Kansas City Royals,NA,Seattle Mariners,NA
San Francisco Giants,NA,Arizona Diamondbacks,NA
Chicago White Sox,NA,Los Angeles Dodgers,NA
Minnesota Twins,NA,Miami Marlins,NA
Houston Astros,NA,Colorado Rockies,NA
Detroit Tigers,NA,Washington Nationals,NA
New York Yankees,NA,Toronto Blue Jays,NA
Milwaukee Brewers,NA,New York Mets,NA
Los Angeles Angels,NA,Atlanta Braves,NA
Cleveland Guardians,NA,Chicago Cubs,NA
San Francisco Giants,NA,Arizona Diamondbacks,NA
Kansas City Royals,NA,Seattle Mariners,NA
Chicago White Sox,NA,Los Angeles Dodgers,NA
Boston Red Sox,NA,Washington Nationals,NA
Cincinnati Reds,NA,Philadelphia Phillies,NA
St. Louis Cardinals,NA,Chicago Cubs,NA
New York Yankees,NA,New York Mets,NA
Pittsburgh Pirates,NA,Seattle Mariners,NA
Tampa Bay Rays,NA,Minnesota Twins,NA
Texas Rangers,NA,San Diego Padres,NA
Los Angeles Angels,NA,Toronto Blue Jays,NA
Detroit Tigers,NA,Cleveland Guardians,NA
Milwaukee Brewers,NA,Miami Marlins,NA
Baltimore Orioles,NA,Atlanta Braves,NA
Chicago White Sox,NA,Colorado Rockies,NA
Houston Astros,NA,Los Angeles Dodgers,NA
Kansas City Royals,NA,Arizona Diamondbacks,NA
San Francisco Giants,NA,Athletics,NA
Tampa Bay Rays,NA,Minnesota Twins,NA
St. Louis Cardinals,NA,Chicago Cubs,NA
Los Angeles Angels,NA,Toronto Blue Jays,NA
Boston Red Sox,NA,Washington Nationals,NA
Cincinnati Reds,NA,Philadelphia Phillies,NA
Kansas City Royals,NA,Arizona Diamondbacks,NA
Baltimore Orioles,NA,Atlanta Braves,NA
New York Yankees,NA,New York Mets,NA
Milwaukee Brewers,NA,Miami Marlins,NA
Detroit Tigers,NA,Cleveland Guardians,NA
Houston Astros,NA,Los Angeles Dodgers,NA
Chicago White Sox,NA,Colorado Rockies,NA
Texas Rangers,NA,San Diego Padres,NA
San Francisco Giants,NA,Athletics,NA
Pittsburgh Pirates,NA,Seattle Mariners,NA
Baltimore Orioles,NA,Atlanta Braves,NA
Boston Red Sox,NA,Washington Nationals,NA
Cincinnati Reds,NA,Philadelphia Phillies,NA
Los Angeles Angels,NA,Toronto Blue Jays,NA
Detroit Tigers,NA,Cleveland Guardians,NA
New York Yankees,NA,New York Mets,NA
Milwaukee Brewers,NA,Miami Marlins,NA
Tampa Bay Rays,NA,Minnesota Twins,NA
Chicago White Sox,NA,Colorado Rockies,NA
Kansas City Royals,NA,Arizona Diamondbacks,NA
Houston Astros,NA,Los Angeles Dodgers,NA
Pittsburgh Pirates,NA,Seattle Mariners,NA
St. Louis Cardinals,NA,Chicago Cubs,NA
Texas Rangers,NA,San Diego Padres,NA
San Francisco Giants,NA,Athletics,NA
Tampa Bay Rays,NA,Detroit Tigers,NA
Colorado Rockies,NA,Boston Red Sox,NA
Miami Marlins,NA,Cincinnati Reds,NA
Pittsburgh Pirates,NA,Kansas City Royals,NA
Toronto Blue Jays,NA,Chicago White Sox,NA
Los Angeles Dodgers,NA,Milwaukee Brewers,NA
Cleveland Guardians,NA,Houston Astros,NA
Texas Rangers,NA,Los Angeles Angels,NA
Arizona Diamondbacks,NA,San Diego Padres,NA
Philadelphia Phillies,NA,San Francisco Giants,NA
New York Mets,NA,Baltimore Orioles,NA
Tampa Bay Rays,NA,Detroit Tigers,NA
Seattle Mariners,NA,New York Yankees,NA
Colorado Rockies,NA,Boston Red Sox,NA
Miami Marlins,NA,Cincinnati Reds,NA
Pittsburgh Pirates,NA,Kansas City Royals,NA
Chicago Cubs,NA,Minnesota Twins,NA
Toronto Blue Jays,NA,Chicago White Sox,NA
Los Angeles Dodgers,NA,Milwaukee Brewers,NA
Washington Nationals,NA,St. Louis Cardinals,NA
Cleveland Guardians,NA,Houston Astros,NA
Texas Rangers,NA,Los Angeles Angels,NA
Arizona Diamondbacks,NA,San Diego Padres,NA
Philadelphia Phillies,NA,San Francisco Giants,NA
Atlanta Braves,NA,Athletics,NA
Tampa Bay Rays,NA,Detroit Tigers,NA
Toronto Blue Jays,NA,Chicago White Sox,NA
Los Angeles Dodgers,NA,Milwaukee Brewers,NA
Philadelphia Phillies,NA,San Francisco Giants,NA
New York Mets,NA,Baltimore Orioles,NA
Seattle Mariners,NA,New York Yankees,NA
Colorado Rockies,NA,Boston Red Sox,NA
Miami Marlins,NA,Cincinnati Reds,NA
Pittsburgh Pirates,NA,Kansas City Royals,NA
Chicago Cubs,NA,Minnesota Twins,NA
Washington Nationals,NA,St. Louis Cardinals,NA
Cleveland Guardians,NA,Houston Astros,NA
Texas Rangers,NA,Los Angeles Angels,NA
Arizona Diamondbacks,NA,San Diego Padres,NA
Atlanta Braves,NA,Athletics,NA
New York Mets,NA,Baltimore Orioles,NA
Chicago Cubs,NA,Minnesota Twins,NA
Miami Marlins,NA,Cincinnati Reds,NA
Seattle Mariners,NA,New York Yankees,NA
Tampa Bay Rays,NA,Boston Red Sox,NA
Cleveland Guardians,NA,Chicago White Sox,NA
Washington Nationals,NA,St. Louis Cardinals,NA
Atlanta Braves,NA,Athletics,NA
Texas Rangers,NA,Los Angeles Angels,NA
Arizona Diamondbacks,NA,San Diego Padres,NA
Miami Marlins,NA,Baltimore Orioles,NA
Chicago Cubs,NA,New York Yankees,NA
Colorado Rockies,NA,Cincinnati Reds,NA
Seattle Mariners,NA,Detroit Tigers,NA
Tampa Bay Rays,NA,Boston Red Sox,NA
New York Mets,NA,Kansas City Royals,NA
Texas Rangers,NA,Houston Astros,NA
Pittsburgh Pirates,NA,Minnesota Twins,NA
Cleveland Guardians,NA,Chicago White Sox,NA
Washington Nationals,NA,Milwaukee Brewers,NA
Atlanta Braves,NA,St. Louis Cardinals,NA
Arizona Diamondbacks,NA,Los Angeles Angels,NA
Philadelphia Phillies,NA,San Diego Padres,NA
Toronto Blue Jays,NA,Athletics,NA
Los Angeles Dodgers,NA,San Francisco Giants,NA
Chicago Cubs,NA,New York Yankees,NA
Seattle Mariners,NA,Detroit Tigers,NA
Pittsburgh Pirates,NA,Minnesota Twins,NA
Atlanta Braves,NA,St. Louis Cardinals,NA
Los Angeles Dodgers,NA,San Francisco Giants,NA
Miami Marlins,NA,Baltimore Orioles,NA
Colorado Rockies,NA,Cincinnati Reds,NA
New York Mets,NA,Kansas City Royals,NA
Tampa Bay Rays,NA,Boston Red Sox,NA
Cleveland Guardians,NA,Chicago White Sox,NA
Washington Nationals,NA,Milwaukee Brewers,NA
Texas Rangers,NA,Houston Astros,NA
Philadelphia Phillies,NA,San Diego Padres,NA
Arizona Diamondbacks,NA,Los Angeles Angels,NA
Toronto Blue Jays,NA,Athletics,NA
Tampa Bay Rays,NA,Boston Red Sox,NA
Miami Marlins,NA,Baltimore Orioles,NA
Chicago Cubs,NA,New York Yankees,NA
Colorado Rockies,NA,Cincinnati Reds,NA
Seattle Mariners,NA,Detroit Tigers,NA
New York Mets,NA,Kansas City Royals,NA
Texas Rangers,NA,Houston Astros,NA
Pittsburgh Pirates,NA,Minnesota Twins,NA
Cleveland Guardians,NA,Chicago White Sox,NA
Washington Nationals,NA,Milwaukee Brewers,NA
Atlanta Braves,NA,St. Louis Cardinals,NA
Los Angeles Dodgers,NA,San Francisco Giants,NA
Toronto Blue Jays,NA,Athletics,NA
Arizona Diamondbacks,NA,Los Angeles Angels,NA
Philadelphia Phillies,NA,San Diego Padres,NA
Boston Red Sox,NA,Chicago Cubs,NA
Chicago White Sox,NA,Pittsburgh Pirates,NA
San Diego Padres,NA,Washington Nationals,NA
Los Angeles Angels,NA,Philadelphia Phillies,NA
San Francisco Giants,NA,Toronto Blue Jays,NA
Cincinnati Reds,NA,New York Mets,NA
Athletics,NA,Cleveland Guardians,NA
Kansas City Royals,NA,Miami Marlins,NA
New York Yankees,NA,Atlanta Braves,NA
Baltimore Orioles,NA,Tampa Bay Rays,NA
Detroit Tigers,NA,Texas Rangers,NA
Minnesota Twins,NA,Colorado Rockies,NA
St. Louis Cardinals,NA,Arizona Diamondbacks,NA
Houston Astros,NA,Seattle Mariners,NA
Milwaukee Brewers,NA,Los Angeles Dodgers,NA
San Francisco Giants,NA,Toronto Blue Jays,NA
Cincinnati Reds,NA,New York Mets,NA
Kansas City Royals,NA,Miami Marlins,NA
Los Angeles Angels,NA,Philadelphia Phillies,NA
Chicago White Sox,NA,Pittsburgh Pirates,NA
San Diego Padres,NA,Washington Nationals,NA
Baltimore Orioles,NA,Tampa Bay Rays,NA
Detroit Tigers,NA,Texas Rangers,NA
Athletics,NA,Cleveland Guardians,NA
Boston Red Sox,NA,Chicago Cubs,NA
St. Louis Cardinals,NA,Arizona Diamondbacks,NA
New York Yankees,NA,Atlanta Braves,NA
Minnesota Twins,NA,Colorado Rockies,NA
Milwaukee Brewers,NA,Los Angeles Dodgers,NA
Houston Astros,NA,Seattle Mariners,NA
San Francisco Giants,NA,Toronto Blue Jays,NA
Baltimore Orioles,NA,Tampa Bay Rays,NA
San Diego Padres,NA,Washington Nationals,NA
Los Angeles Angels,NA,Philadelphia Phillies,NA
Chicago White Sox,NA,Pittsburgh Pirates,NA
New York Yankees,NA,Atlanta Braves,NA
Cincinnati Reds,NA,New York Mets,NA
Athletics,NA,Cleveland Guardians,NA
Kansas City Royals,NA,Miami Marlins,NA
Boston Red Sox,NA,Chicago Cubs,NA
Detroit Tigers,NA,Texas Rangers,NA
Minnesota Twins,NA,Colorado Rockies,NA
Houston Astros,NA,Seattle Mariners,NA
St. Louis Cardinals,NA,Arizona Diamondbacks,NA
Milwaukee Brewers,NA,Los Angeles Dodgers,NA
Baltimore Orioles,NA,Cleveland Guardians,NA
Detroit Tigers,NA,Pittsburgh Pirates,NA
San Diego Padres,NA,Miami Marlins,NA
Cincinnati Reds,NA,Washington Nationals,NA
Boston Red Sox,NA,Philadelphia Phillies,NA
New York Yankees,NA,Toronto Blue Jays,NA
Los Angeles Angels,NA,New York Mets,NA
San Francisco Giants,NA,Atlanta Braves,NA
Chicago White Sox,NA,Tampa Bay Rays,NA
Kansas City Royals,NA,Chicago Cubs,NA
Athletics,NA,Texas Rangers,NA
St. Louis Cardinals,NA,Colorado Rockies,NA
Houston Astros,NA,Arizona Diamondbacks,NA
Milwaukee Brewers,NA,Seattle Mariners,NA
Minnesota Twins,NA,Los Angeles Dodgers,NA
Baltimore Orioles,NA,Cleveland Guardians,NA
Detroit Tigers,NA,Pittsburgh Pirates,NA
San Diego Padres,NA,Miami Marlins,NA
Cincinnati Reds,NA,Washington Nationals,NA
Boston Red Sox,NA,Philadelphia Phillies,NA
New York Yankees,NA,Toronto Blue Jays,NA
Los Angeles Angels,NA,New York Mets,NA
San Francisco Giants,NA,Atlanta Braves,NA
Chicago White Sox,NA,Tampa Bay Rays,NA
Kansas City Royals,NA,Chicago Cubs,NA
Athletics,NA,Texas Rangers,NA
St. Louis Cardinals,NA,Colorado Rockies,NA
Houston Astros,NA,Arizona Diamondbacks,NA
Milwaukee Brewers,NA,Seattle Mariners,NA
Minnesota Twins,NA,Los Angeles Dodgers,NA
Cincinnati Reds,NA,Washington Nationals,NA
San Diego Padres,NA,Miami Marlins,NA
San Francisco Giants,NA,Atlanta Braves,NA
Detroit Tigers,NA,Pittsburgh Pirates,NA
Los Angeles Angels,NA,New York Mets,NA
Kansas City Royals,NA,Chicago Cubs,NA
St. Louis Cardinals,NA,Colorado Rockies,NA
Houston Astros,NA,Arizona Diamondbacks,NA
Milwaukee Brewers,NA,Seattle Mariners,NA
Minnesota Twins,NA,Los Angeles Dodgers,NA
Baltimore Orioles,NA,Cleveland Guardians,NA
Boston Red Sox,NA,Philadelphia Phillies,NA
New York Yankees,NA,Toronto Blue Jays,NA
Chicago White Sox,NA,Tampa Bay Rays,NA
Athletics,NA,Texas Rangers,NA
Baltimore Orioles,NA,Cleveland Guardians,NA
Toronto Blue Jays,NA,Detroit Tigers,NA
San Diego Padres,NA,St. Louis Cardinals,NA
Athletics,NA,Houston Astros,NA
Seattle Mariners,NA,Los Angeles Angels,NA
Miami Marlins,NA,Milwaukee Brewers,NA
Arizona Diamondbacks,NA,Pittsburgh Pirates,NA
Colorado Rockies,NA,Baltimore Orioles,NA
Philadelphia Phillies,NA,New York Yankees,NA
Los Angeles Dodgers,NA,Boston Red Sox,NA
Tampa Bay Rays,NA,Cincinnati Reds,NA
Toronto Blue Jays,NA,Detroit Tigers,NA
San Diego Padres,NA,St. Louis Cardinals,NA
Chicago Cubs,NA,Chicago White Sox,NA
Atlanta Braves,NA,Texas Rangers,NA
Cleveland Guardians,NA,Kansas City Royals,NA
Athletics,NA,Houston Astros,NA
Washington Nationals,NA,Minnesota Twins,NA
Seattle Mariners,NA,Los Angeles Angels,NA
New York Mets,NA,San Francisco Giants,NA
Philadelphia Phillies,NA,New York Yankees,NA
Toronto Blue Jays,NA,Detroit Tigers,NA
Arizona Diamondbacks,NA,Pittsburgh Pirates,NA
Tampa Bay Rays,NA,Cincinnati Reds,NA
Colorado Rockies,NA,Baltimore Orioles,NA
Atlanta Braves,NA,Texas Rangers,NA
Athletics,NA,Houston Astros,NA
Washington Nationals,NA,Minnesota Twins,NA
Chicago Cubs,NA,Chicago White Sox,NA
Miami Marlins,NA,Milwaukee Brewers,NA
Cleveland Guardians,NA,Kansas City Royals,NA
Los Angeles Dodgers,NA,Boston Red Sox,NA
San Diego Padres,NA,St. Louis Cardinals,NA
New York Mets,NA,San Francisco Giants,NA
Seattle Mariners,NA,Los Angeles Angels,NA
Colorado Rockies,NA,Baltimore Orioles,NA
Los Angeles Dodgers,NA,Boston Red Sox,NA
Arizona Diamondbacks,NA,Pittsburgh Pirates,NA
Philadelphia Phillies,NA,New York Yankees,NA
Tampa Bay Rays,NA,Cincinnati Reds,NA
Toronto Blue Jays,NA,Detroit Tigers,NA
Cleveland Guardians,NA,Kansas City Royals,NA
Athletics,NA,Houston Astros,NA
Washington Nationals,NA,Minnesota Twins,NA
Chicago Cubs,NA,Chicago White Sox,NA
Miami Marlins,NA,Milwaukee Brewers,NA
San Diego Padres,NA,St. Louis Cardinals,NA
Atlanta Braves,NA,Texas Rangers,NA
New York Mets,NA,San Francisco Giants,NA
Seattle Mariners,NA,Los Angeles Angels,NA
Toronto Blue Jays,NA,Baltimore Orioles,NA
Colorado Rockies,NA,Cleveland Guardians,NA
Arizona Diamondbacks,NA,Detroit Tigers,NA
Tampa Bay Rays,NA,New York Yankees,NA
Los Angeles Dodgers,NA,Cincinnati Reds,NA
Boston Red Sox,NA,Minnesota Twins,NA
Atlanta Braves,NA,Kansas City Royals,NA
Philadelphia Phillies,NA,Chicago White Sox,NA
Chicago Cubs,NA,Milwaukee Brewers,NA
Miami Marlins,NA,St. Louis Cardinals,NA
Washington Nationals,NA,Houston Astros,NA
Texas Rangers,NA,Los Angeles Angels,NA
New York Mets,NA,San Diego Padres,NA
Pittsburgh Pirates,NA,San Francisco Giants,NA
Seattle Mariners,NA,Athletics,NA
Toronto Blue Jays,NA,Baltimore Orioles,NA
Toronto Blue Jays,NA,Baltimore Orioles,NA
Colorado Rockies,NA,Cleveland Guardians,NA
Arizona Diamondbacks,NA,Detroit Tigers,NA
Tampa Bay Rays,NA,New York Yankees,NA
Los Angeles Dodgers,NA,Cincinnati Reds,NA
Boston Red Sox,NA,Minnesota Twins,NA
Atlanta Braves,NA,Kansas City Royals,NA
Philadelphia Phillies,NA,Chicago White Sox,NA
Chicago Cubs,NA,Milwaukee Brewers,NA
Miami Marlins,NA,St. Louis Cardinals,NA
Washington Nationals,NA,Houston Astros,NA
Texas Rangers,NA,Los Angeles Angels,NA
New York Mets,NA,San Diego Padres,NA
Pittsburgh Pirates,NA,San Francisco Giants,NA
Seattle Mariners,NA,Athletics,NA
Toronto Blue Jays,NA,Baltimore Orioles,NA
Arizona Diamondbacks,NA,Detroit Tigers,NA
Boston Red Sox,NA,Minnesota Twins,NA
Washington Nationals,NA,Houston Astros,NA
Atlanta Braves,NA,Kansas City Royals,NA
Philadelphia Phillies,NA,Chicago White Sox,NA
Chicago Cubs,NA,Milwaukee Brewers,NA
Pittsburgh Pirates,NA,San Francisco Giants,NA
New York Mets,NA,San Diego Padres,NA
Colorado Rockies,NA,Cleveland Guardians,NA
Tampa Bay Rays,NA,New York Yankees,NA
Los Angeles Dodgers,NA,Cincinnati Reds,NA
Miami Marlins,NA,St. Louis Cardinals,NA
Texas Rangers,NA,Los Angeles Angels,NA
Seattle Mariners,NA,Athletics,NA
Tampa Bay Rays,NA,New York Yankees,NA
Atlanta Braves,NA,Cincinnati Reds,NA
Texas Rangers,NA,Seattle Mariners,NA
Atlanta Braves,NA,Cincinnati Reds,NA
Baltimore Orioles,NA,Chicago Cubs,NA
Detroit Tigers,NA,Philadelphia Phillies,NA
Milwaukee Brewers,NA,Washington Nationals,NA
Kansas City Royals,NA,Toronto Blue Jays,NA
Houston Astros,NA,Boston Red Sox,NA
San Francisco Giants,NA,New York Mets,NA
Minnesota Twins,NA,Cleveland Guardians,NA
New York Yankees,NA,Miami Marlins,NA
Los Angeles Dodgers,NA,Tampa Bay Rays,NA
Pittsburgh Pirates,NA,Colorado Rockies,NA
Chicago White Sox,NA,Los Angeles Angels,NA
St. Louis Cardinals,NA,San Diego Padres,NA
Arizona Diamondbacks,NA,Athletics,NA
Texas Rangers,NA,Seattle Mariners,NA
Los Angeles Dodgers,NA,Tampa Bay Rays,NA
Baltimore Orioles,NA,Chicago Cubs,NA
Kansas City Royals,NA,Toronto Blue Jays,NA
Pittsburgh Pirates,NA,Colorado Rockies,NA
Detroit Tigers,NA,Philadelphia Phillies,NA
Milwaukee Brewers,NA,Washington Nationals,NA
Houston Astros,NA,Boston Red Sox,NA
San Francisco Giants,NA,New York Mets,NA
Texas Rangers,NA,Seattle Mariners,NA
Minnesota Twins,NA,Cleveland Guardians,NA
New York Yankees,NA,Miami Marlins,NA
Atlanta Braves,NA,Cincinnati Reds,NA
Arizona Diamondbacks,NA,Athletics,NA
Chicago White Sox,NA,Los Angeles Angels,NA
St. Louis Cardinals,NA,San Diego Padres,NA
Houston Astros,NA,Boston Red Sox,NA
Los Angeles Dodgers,NA,Tampa Bay Rays,NA
Detroit Tigers,NA,Philadelphia Phillies,NA
Milwaukee Brewers,NA,Washington Nationals,NA
Kansas City Royals,NA,Toronto Blue Jays,NA
San Francisco Giants,NA,New York Mets,NA
Minnesota Twins,NA,Cleveland Guardians,NA
New York Yankees,NA,Miami Marlins,NA
Baltimore Orioles,NA,Chicago Cubs,NA
Pittsburgh Pirates,NA,Colorado Rockies,NA
Arizona Diamondbacks,NA,Athletics,NA
Chicago White Sox,NA,Los Angeles Angels,NA
St. Louis Cardinals,NA,San Diego Padres,NA
Texas Rangers,NA,Seattle Mariners,NA
San Francisco Giants,NA,Pittsburgh Pirates,NA
Minnesota Twins,NA,Detroit Tigers,NA
Houston Astros,NA,Miami Marlins,NA
Baltimore Orioles,NA,Philadelphia Phillies,NA
Kansas City Royals,NA,Boston Red Sox,NA
Cleveland Guardians,NA,New York Mets,NA
Milwaukee Brewers,NA,Atlanta Braves,NA
Cincinnati Reds,NA,Chicago Cubs,NA
New York Yankees,NA,Texas Rangers,NA
Toronto Blue Jays,NA,Colorado Rockies,NA
Tampa Bay Rays,NA,Los Angeles Angels,NA
San Diego Padres,NA,Arizona Diamondbacks,NA
St. Louis Cardinals,NA,Los Angeles Dodgers,NA
San Francisco Giants,NA,Pittsburgh Pirates,NA
Minnesota Twins,NA,Detroit Tigers,NA
Houston Astros,NA,Miami Marlins,NA
Athletics,NA,Washington Nationals,NA
Baltimore Orioles,NA,Philadelphia Phillies,NA
Kansas City Royals,NA,Boston Red Sox,NA
Cleveland Guardians,NA,New York Mets,NA
Milwaukee Brewers,NA,Atlanta Braves,NA
Cincinnati Reds,NA,Chicago Cubs,NA
New York Yankees,NA,Texas Rangers,NA
Toronto Blue Jays,NA,Colorado Rockies,NA
Tampa Bay Rays,NA,Los Angeles Angels,NA
San Diego Padres,NA,Arizona Diamondbacks,NA
Chicago White Sox,NA,Seattle Mariners,NA
St. Louis Cardinals,NA,Los Angeles Dodgers,NA
San Francisco Giants,NA,Pittsburgh Pirates,NA
Baltimore Orioles,NA,Philadelphia Phillies,NA
Cleveland Guardians,NA,New York Mets,NA
Minnesota Twins,NA,Detroit Tigers,NA
Cincinnati Reds,NA,Chicago Cubs,NA
New York Yankees,NA,Texas Rangers,NA
Toronto Blue Jays,NA,Colorado Rockies,NA
Tampa Bay Rays,NA,Los Angeles Angels,NA
St. Louis Cardinals,NA,Los Angeles Dodgers,NA
Houston Astros,NA,Miami Marlins,NA
Athletics,NA,Washington Nationals,NA
Kansas City Royals,NA,Boston Red Sox,NA
Milwaukee Brewers,NA,Atlanta Braves,NA
San Diego Padres,NA,Arizona Diamondbacks,NA
Chicago White Sox,NA,Seattle Mariners,NA
Athletics,NA,Washington Nationals,NA
Chicago White Sox,NA,Seattle Mariners,NA
Cincinnati Reds,NA,Pittsburgh Pirates,NA
Miami Marlins,NA,Atlanta Braves,NA
Cincinnati Reds,NA,Pittsburgh Pirates,NA
Athletics,NA,Baltimore Orioles,NA
Houston Astros,NA,New York Yankees,NA
Los Angeles Angels,NA,Detroit Tigers,NA
Miami Marlins,NA,Atlanta Braves,NA
Cleveland Guardians,NA,Chicago White Sox,NA
Philadelphia Phillies,NA,Texas Rangers,NA
Kansas City Royals,NA,Minnesota Twins,NA
New York Mets,NA,Milwaukee Brewers,NA
Chicago Cubs,NA,St. Louis Cardinals,NA
Colorado Rockies,NA,Arizona Diamondbacks,NA
Boston Red Sox,NA,San Diego Padres,NA
Tampa Bay Rays,NA,Seattle Mariners,NA
Toronto Blue Jays,NA,Los Angeles Dodgers,NA
Washington Nationals,NA,San Francisco Giants,NA
Miami Marlins,NA,Atlanta Braves,NA
Miami Marlins,NA,Atlanta Braves,NA
Houston Astros,NA,New York Yankees,NA
Washington Nationals,NA,San Francisco Giants,NA
Los Angeles Angels,NA,Detroit Tigers,NA
Cincinnati Reds,NA,Pittsburgh Pirates,NA
Athletics,NA,Baltimore Orioles,NA
Kansas City Royals,NA,Minnesota Twins,NA
Cleveland Guardians,NA,Chicago White Sox,NA
New York Mets,NA,Milwaukee Brewers,NA
Chicago Cubs,NA,St. Louis Cardinals,NA
Philadelphia Phillies,NA,Texas Rangers,NA
Colorado Rockies,NA,Arizona Diamondbacks,NA
Boston Red Sox,NA,San Diego Padres,NA
Toronto Blue Jays,NA,Los Angeles Dodgers,NA
Tampa Bay Rays,NA,Seattle Mariners,NA
Kansas City Royals,NA,Minnesota Twins,NA
Athletics,NA,Baltimore Orioles,NA
Cincinnati Reds,NA,Pittsburgh Pirates,NA
Miami Marlins,NA,Atlanta Braves,NA
Houston Astros,NA,New York Yankees,NA
Los Angeles Angels,NA,Detroit Tigers,NA
Cleveland Guardians,NA,Chicago White Sox,NA
New York Mets,NA,Milwaukee Brewers,NA
Chicago Cubs,NA,St. Louis Cardinals,NA
Philadelphia Phillies,NA,Texas Rangers,NA
Washington Nationals,NA,San Francisco Giants,NA
Colorado Rockies,NA,Arizona Diamondbacks,NA
Boston Red Sox,NA,San Diego Padres,NA
Tampa Bay Rays,NA,Seattle Mariners,NA
Toronto Blue Jays,NA,Los Angeles Dodgers,NA
Philadelphia Phillies,NA,Cincinnati Reds,NA
Minnesota Twins,NA,New York Yankees,NA
Washington Nationals,NA,Kansas City Royals,NA
Detroit Tigers,NA,Chicago White Sox,NA
Pittsburgh Pirates,NA,Milwaukee Brewers,NA
Colorado Rockies,NA,St. Louis Cardinals,NA
