game_pk,stadium,temperature,condition,wind
778563,Tokyo Dome,72,Dome,"0 mph, None"
778564,Tokyo Dome,72,Dome,"0 mph, None"
778557,Yankee Stadium,48,Sunny,"17 mph, Out To LF"
778556,Rogers Centre,68,Roof Closed,"0 mph, None"
778553,Globe Life Field,74,Roof Closed,"0 mph, None"
778555,Nationals Park,57,Sunny,"5 mph, L To R"
778558,Kauffman Stadium,76,Partly Cloudy,"12 mph, R To L"
778559,Daikin Park,73,Roof Closed,"0 mph, None"
778561,Great American Ball Park,61,Partly Cloudy,"10 mph, R To L"
778545,Petco Park,66,Partly Cloudy,"9 mph, L To R"
778554,Rate Field,54,Cloudy,"11 mph, In From RF"
778562,loanDepot park,76,Sunny,"7 mph, In From LF"
778551,Busch Stadium,63,Cloudy,"8 mph, In From RF"
778546,Dodger Stadium,69,Partly Cloudy,"3 mph, Out To RF"
778552,Chase Field,87,Clear,"6 mph, L To R"
778547,T-Mobile Park,55,Roof Closed,"0 mph, Calm"
778560,George M. Steinbrenner Field,84,Partly Cloudy,"14 mph, R To L"
778549,Rogers Centre,72,Roof Closed,"0 mph, None"
778548,loanDepot park,77,Partly Cloudy,"15 mph, In From LF"
778550,Globe Life Field,74,Roof Closed,"0 mph, None"
778518,Daikin Park,73,Roof Closed,"0 mph, None"
778543,Chase Field,80,Partly Cloudy,"7 mph, L To R"
778541,T-Mobile Park,52,Roof Closed,"6 mph, Out To LF"
778542,Petco Park,59,Partly Cloudy,"8 mph, L To R"
778544,Dodger Stadium,61,Cloudy,"7 mph, Out To CF"
778538,Yankee Stadium,78,Partly Cloudy,"15 mph, Out To CF"
778534,Rate Field,67,Partly Cloudy,"14 mph, In From RF"
778528,Busch Stadium,68,Cloudy,"10 mph, Out To LF"
778536,Rogers Centre,68,Roof Closed,"0 mph, None"
778535,Nationals Park,81,Overcast,"7 mph, Out To RF"
778529,Kauffman Stadium,77,Partly Cloudy,"17 mph, R To L"
778540,Great American Ball Park,76,Partly Cloudy,"14 mph, In From RF"
778537,George M. Steinbrenner Field,84,Partly Cloudy,"7 mph, In From CF"
778539,loanDepot park,72,Roof Closed,"0 mph, None"
778531,Globe Life Field,74,Roof Closed,"0 mph, None"
778530,Daikin Park,73,Roof Closed,"0 mph, None"
778520,Petco Park,62,Partly Cloudy,"9 mph, L To R"
778532,Chase Field,79,Clear,"2 mph, In From CF"
778533,Dodger Stadium,63,Partly Cloudy,"1 mph, L To R"
778521,T-Mobile Park,56,Partly Cloudy,"2 mph, Out To RF"
778526,Nationals Park,79,Partly Cloudy,"16 mph, Out To CF"
778523,Yankee Stadium,44,Partly Cloudy,"10 mph, In From LF"
778525,Rogers Centre,68,Roof Closed,"0 mph, None"
778522,Great American Ball Park,69,Cloudy,"12 mph, R To L"
778524,George M. Steinbrenner Field,80,Partly Cloudy,"12 mph, R To L"
778519,loanDepot park,72,Roof Closed,"0 mph, None"
778510,Kauffman Stadium,45,Partly Cloudy,"14 mph, L To R"
778527,Rate Field,76,Partly Cloudy,"7 mph, R To L"
778517,Busch Stadium,74,Partly Cloudy,"14 mph, R To L"
778516,Globe Life Field,74,Roof Closed,"0 mph, None"
778515,Chase Field,79,Sunny,"6 mph, Varies"
778513,T-Mobile Park,59,Partly Cloudy,"2 mph, R To L"
778514,Petco Park,63,Partly Cloudy,"10 mph, L To R"
778506,Rate Field,39,Cloudy,"12 mph, Out To CF"
778504,American Family Field,65,Roof Closed,"0 mph, None"
778512,Oriole Park at Camden Yards,82,Partly Cloudy,"6 mph, Out To CF"
778502,Citizens Bank Park,77,Partly Cloudy,"16 mph, Out To CF"
778511,Great American Ball Park,44,Cloudy,"10 mph, Out To CF"
778509,loanDepot park,72,Roof Closed,"0 mph, None"
778508,George M. Steinbrenner Field,79,Partly Cloudy,"10 mph, Out To CF"
778507,Rogers Centre,68,Roof Closed,"0 mph, None"
778503,Busch Stadium,52,Partly Cloudy,"7 mph, L To R"
778505,Daikin Park,73,Roof Closed,"0 mph, None"
778499,Petco Park,60,Cloudy,"7 mph, L To R"
778496,T-Mobile Park,47,Roof Closed,"0 mph, Calm"
778501,Sutter Health Park,52,Partly Cloudy,"12 mph, Varies"
778500,Dodger Stadium,59,Partly Cloudy,"4 mph, Out To RF"
778498,Great American Ball Park,55,Partly Cloudy,"6 mph, In From CF"
778497,loanDepot park,81,Cloudy,"8 mph, In From CF"
778493,George M. Steinbrenner Field,85,Clear,"10 mph, Out To CF"
778492,Yankee Stadium,50,Partly Cloudy,"10 mph, Out To RF"
778491,Rogers Centre,68,Roof Closed,"0 mph, None"
778490,Rate Field,42,Cloudy,"14 mph, In From LF"
778488,American Family Field,63,Roof Closed,"0 mph, None"
778495,Busch Stadium,59,Cloudy,"17 mph, R To L"
778489,Daikin Park,73,Roof Closed,"0 mph, None"
778485,Petco Park,61,Partly Cloudy,"11 mph, In From LF"
778486,T-Mobile Park,53,Roof Closed,"5 mph, Out To LF"
778494,Sutter Health Park,55,Partly Cloudy,"12 mph, Out To CF"
778487,Dodger Stadium,60,Partly Cloudy,"12 mph, Out To RF"
778480,Great American Ball Park,71,Partly Cloudy,"16 mph, R To L"
778479,George M. Steinbrenner Field,89,Sunny,"13 mph, R To L"
778477,American Family Field,64,Roof Closed,"0 mph, None"
778473,Busch Stadium,75,Overcast,"25 mph, Out To LF"
778474,Rate Field,61,Partly Cloudy,"11 mph, In From CF"
778478,Rogers Centre,68,Roof Closed,"0 mph, None"
778471,Sutter Health Park,57,Sunny,"6 mph, L To R"
778476,Petco Park,60,Partly Cloudy,"16 mph, L To R"
778469,T-Mobile Park,50,Roof Closed,"0 mph, None"
778475,Daikin Park,73,Roof Closed,"0 mph, None"
778481,loanDepot park,84,Partly Cloudy,"13 mph, In From LF"
778483,Oriole Park at Camden Yards,57,Overcast,"5 mph, Out To LF"
778482,Citizens Bank Park,47,Cloudy,"14 mph, R To L"
778484,Yankee Stadium,42,Partly Cloudy,"13 mph, R To L"
778472,Dodger Stadium,63,Partly Cloudy,"12 mph, Out To RF"
778470,Oriole Park at Camden Yards,71,Overcast,"12 mph, Out To LF"
778467,Citizens Bank Park,71,Drizzle,"12 mph, Out To CF"
778462,Target Field,42,Partly Cloudy,"9 mph, Out To CF"
778466,Yankee Stadium,71,Cloudy,"9 mph, Out To LF"
778468,American Family Field,61,Roof Closed,"0 mph, None"
778458,Comerica Park,50,Sunny,"8 mph, L To R"
778463,Fenway Park,67,Sunny,"8 mph, L To R"
778460,Wrigley Field,44,Cloudy,"9 mph, In From CF"
778465,Citi Field,69,Cloudy,"11 mph, L To R"
778456,Coors Field,37,Snow,"13 mph, In From RF"
778461,PNC Park,58,Cloudy,"4 mph, In From LF"
778444,Oracle Park,62,Sunny,"9 mph, Varies"
778457,Nationals Park,72,Partly Cloudy,"7 mph, In From CF"
778459,Citizens Bank Park,67,Partly Cloudy,"8 mph, In From CF"
778464,Truist Park,86,Cloudy,"8 mph, L To R"
778455,Kauffman Stadium,47,Cloudy,"11 mph, L To R"
778454,Globe Life Field,74,Roof Closed,"0 mph, None"
778453,American Family Field,66,Roof Closed,"0 mph, None"
778447,Angel Stadium,65,Clear,"8 mph, Out To RF"
778445,Comerica Park,46,Cloudy,"6 mph, Out To CF"
778440,Target Field,38,Sunny,"8 mph, Out To RF"
778450,Wrigley Field,49,Partly Cloudy,"10 mph, In From LF"
778452,Nationals Park,73,Cloudy,"9 mph, Out To LF"
778448,Citizens Bank Park,55,Cloudy,"9 mph, R To L"
778449,PNC Park,70,Overcast,"10 mph, Out To LF"
778441,Kauffman Stadium,45,Partly Cloudy,"17 mph, In From LF"
778438,Globe Life Field,74,Roof Closed,"0 mph, None"
778446,Citi Field,45,Cloudy,"7 mph, In From RF"
778439,American Family Field,68,Roof Closed,"0 mph, None"
778451,Truist Park,86,Partly Cloudy,"8 mph, Out To RF"
778442,Coors Field,41,Clear,"3 mph, In From LF"
778436,Oracle Park,66,Clear,"7 mph, Out To CF"
778437,Angel Stadium,75,Clear,"11 mph, Out To RF"
778443,Fenway Park,47,Overcast,"6 mph, L To R"
778429,Nationals Park,59,Overcast,"14 mph, In From LF"
778443,Fenway Park,47,Overcast,"6 mph, L To R"
778432,Fenway Park,53,Partly Cloudy,"2 mph, Out To RF"
778434,Citizens Bank Park,56,Cloudy,"9 mph, In From LF"
778428,PNC Park,41,Overcast,"10 mph, L To R"
778435,Citi Field,52,Cloudy,"9 mph, In From LF"
778433,Comerica Park,45,Partly Cloudy,"7 mph, Out To RF"
778422,Kauffman Stadium,50,Partly Cloudy,"8 mph, In From LF"
778419,Target Field,52,Sunny,"10 mph, Out To LF"
778421,American Family Field,67,Roof Closed,"0 mph, None"
778430,Wrigley Field,44,Sunny,"4 mph, In From CF"
778420,Globe Life Field,74,Roof Closed,"0 mph, None"
778423,Coors Field,52,Partly Cloudy,"10 mph, In From LF"
778427,Oracle Park,60,Partly Cloudy,"8 mph, Out To CF"
778425,Angel Stadium,81,Sunny,"5 mph, Out To CF"
778424,Comerica Park,38,Cloudy,"16 mph, Out To LF"
778415,PNC Park,55,Partly Cloudy,"12 mph, Out To CF"
778418,Nationals Park,45,Cloudy,"8 mph, In From CF"
778426,Fenway Park,38,Overcast,"4 mph, In From RF"
778416,Citi Field,42,Cloudy,"5 mph, In From CF"
778411,Wrigley Field,34,Cloudy,"17 mph, In From LF"
778412,Kauffman Stadium,52,Clear,"14 mph, L To R"
778413,Chase Field,82,Partly Cloudy,"2 mph, L To R"
778405,T-Mobile Park,52,Roof Closed,"0 mph, None"
778410,Oracle Park,56,Partly Cloudy,"9 mph, Out To CF"
778414,Sutter Health Park,67,Partly Cloudy,"7 mph, Out To LF"
778403,Comerica Park,34,Sunny,"10 mph, Out To LF"
778402,Progressive Field,35,Partly Cloudy,"14 mph, In From LF"
778407,Citi Field,43,Partly Cloudy,"19 mph, L To R"
778408,PNC Park,38,Partly Cloudy,"13 mph, Out To CF"
778409,Nationals Park,46,Clear,"17 mph, L To R"
778404,Fenway Park,35,Partly Cloudy,"5 mph, L To R"
778417,George M. Steinbrenner Field,66,Partly Cloudy,"10 mph, L To R"
778406,Truist Park,60,Clear,"11 mph, R To L"
778401,Wrigley Field,35,Clear,"11 mph, In From RF"
778400,Kauffman Stadium,58,Clear,"14 mph, Out To LF"
